gene_id,C1,C2,C3,T1,T2,T3
11287,30,33,28,130,124,136
11298,34,31,37,142,135,147
11302,40,43,38,155,149,162
11303,45,41,48,169,160,175
11304,50,55,47,181,175,190
11305,55,51,59,198,186,205
11306,60,64,57,214,207,223
11307,68,63,72,230,220,239
11308,74,79,70,246,235,255
11350,80,75,84,260,250,272
11352,170,164,178,54,49,58
11354,182,190,176,61,65,57
11363,195,188,203,68,63,72
11364,210,218,202,75,80,71
11370,225,217,233,82,77,86
11409,240,249,232,90,95,86
11416,255,246,264,98,93,103
11418,270,280,261,105,111,100
11419,285,276,294,113,108,118
11421,300,310,291,120,126,115
11423,90,97,84,94,88,99
11425,102,95,109,100,107,93
11426,115,123,108,119,111,126
11428,130,122,138,127,135,120
11429,145,154,137,149,141,158
11430,160,151,169,157,166,148
11431,175,184,166,179,170,188
11432,190,181,199,187,196,178
11433,205,214,196,208,199,217
11434,220,211,229,217,226,208
11435,235,244,226,239,230,248
11438,250,241,259,247,256,238
11440,265,274,256,269,260,278
11441,280,271,289,277,286,268
11443,295,304,286,299,290,308
11444,310,301,319,307,316,298
11447,325,334,316,329,320,338
11448,340,331,349,337,346,328
11449,355,364,346,359,350,368
11450,370,361,379,367,376,358
