gene_id,C1,C2,C3,T1,T2,T3
Gene001,11,12,10,41,43,42
Gene002,12,13,11,42,44,43
Gene003,13,14,12,43,45,44
Gene004,14,15,13,44,46,45
Gene005,15,16,14,45,47,46
Gene006,16,17,15,46,48,47
Gene007,17,18,16,47,49,48
Gene008,18,19,17,48,50,49
Gene009,19,20,18,49,51,50
Gene010,20,21,19,50,52,51
Gene011,61,59,62,26,27,25
Gene012,62,60,63,27,28,26
Gene013,63,61,64,28,29,27
Gene014,64,62,65,29,30,28
Gene015,65,63,66,30,31,29
Gene016,66,64,67,31,32,30
Gene017,67,65,68,32,33,31
Gene018,68,66,69,33,34,32
Gene019,69,67,70,34,35,33
Gene020,70,68,71,35,36,34
Gene021,20,21,19,22,20,21
Gene022,21,22,20,23,21,22
Gene023,22,23,21,24,22,23
Gene024,23,24,22,25,23,24
Gene025,24,25,23,26,24,25
Gene026,25,26,24,27,25,26
Gene027,26,27,25,28,26,27
Gene028,20,21,19,22,20,21
Gene029,21,22,20,23,21,22
Gene030,22,23,21,24,22,23
Gene031,23,24,22,25,23,24
Gene032,24,25,23,26,24,25
Gene033,25,26,24,27,25,26
Gene034,26,27,25,28,26,27
Gene035,20,21,19,22,20,21
Gene036,21,22,20,23,21,22
Gene037,22,23,21,24,22,23
Gene038,23,24,22,25,23,24
Gene039,24,25,23,26,24,25
Gene040,25,26,24,27,25,26
Gene041,26,27,25,28,26,27
Gene042,20,21,19,22,20,21
Gene043,21,22,20,23,21,22
Gene044,22,23,21,24,22,23
Gene045,23,24,22,25,23,24
Gene046,24,25,23,26,24,25
Gene047,25,26,24,27,25,26
Gene048,26,27,25,28,26,27
Gene049,20,21,19,22,20,21
Gene050,21,22,20,23,21,22
Gene051,22,23,21,24,22,23
Gene052,23,24,22,25,23,24
Gene053,24,25,23,26,24,25
Gene054,25,26,24,27,25,26
Gene055,26,27,25,28,26,27
Gene056,20,21,19,22,20,21
Gene057,21,22,20,23,21,22
Gene058,22,23,21,24,22,23
Gene059,23,24,22,25,23,24
Gene060,24,25,23,26,24,25
Gene061,25,26,24,27,25,26
Gene062,26,27,25,28,26,27
Gene063,20,21,19,22,20,21
Gene064,21,22,20,23,21,22
Gene065,22,23,21,24,22,23
Gene066,23,24,22,25,23,24
Gene067,24,25,23,26,24,25
Gene068,25,26,24,27,25,26
Gene069,26,27,25,28,26,27
Gene070,20,21,19,22,20,21
Gene071,21,22,20,23,21,22
Gene072,22,23,21,24,22,23
Gene073,23,24,22,25,23,24
Gene074,24,25,23,26,24,25
Gene075,25,26,24,27,25,26
Gene076,26,27,25,28,26,27
Gene077,20,21,19,22,20,21
Gene078,21,22,20,23,21,22
Gene079,22,23,21,24,22,23
Gene080,23,24,22,25,23,24
Gene081,24,25,23,26,24,25
Gene082,25,26,24,27,25,26
Gene083,26,27,25,28,26,27
Gene084,20,21,19,22,20,21
Gene085,21,22,20,23,21,22
Gene086,22,23,21,24,22,23
Gene087,23,24,22,25,23,24
Gene088,24,25,23,26,24,25
Gene089,25,26,24,27,25,26
Gene090,26,27,25,28,26,27
Gene091,20,21,19,22,20,21
Gene092,21,22,20,23,21,22
Gene093,22,23,21,24,22,23
Gene094,23,24,22,25,23,24
Gene095,24,25,23,26,24,25
Gene096,25,26,24,27,25,26
Gene097,26,27,25,28,26,27
Gene098,20,21,19,22,20,21
Gene099,21,22,20,23,21,22
Gene100,22,23,21,24,22,23

